Player,Hero,Role,Winner,File,Date,Map,GameTime,HeroKills,Assists,Takedowns,Deaths,MinionDmg,SummonDmg,StructDmg,SiegeDmg,HeroDmg,DmgTaken,XP,SpentDead,Rooting,Silence,Stun,CC,OnFire,SpellDmg,PhysDmg,MercDmg,MercCaptures,MinionKills,Regen,Award,HealShield,SelfHeal,,
Rampage15th#1710,Kael'thas,Mage,Loser,2024-04-03 22.24.05 Puesto de avanzada de Braxis.StormReplay,03/04/2024,Puesto de avanzada de Braxis.StormReplay,00:33:46,2,33,35,17,55873,15172,13972,92667,36150,93986,28470,00:09:46,00:00:00,00:00:00,00:00:03,00:00:03,00:00:00,00:00:00,31431,217,1,65,49,0,0,594,,
Deathmask#1670,Qhira,Melee Assassin,Winner,2024-02-17 00.21.00 Distrito industrial.StormReplay,17/02/2024,Distrito industrial.StormReplay,00:30:20,13,24,37,17,40029,0,10421,55154,86525,139115,31757,00:08:50,00:00:00,00:00:00,00:00:17,00:00:17,00:00:00,00:00:00,28268,0,0,55,37,0,0,21345,,
Raizenser#1838,Valla,Ranged Assassin,Winner,2024-03-03 01.28.04 Puesto de avanzada de Braxis.StormReplay,03/03/2024,Puesto de avanzada de Braxis.StormReplay,00:26:12,27,28,55,16,28692,0,10935,41653,86159,76928,42519,00:08:08,00:00:00,00:00:00,00:00:00,00:00:26,00:00:26,00:00:00,19233,17730,2,25,32,MostVengeancesPerformed,0,15668,,
Zombicioso#1115,Zul'jin,Ranged Assassin,Winner,2024-07-07 22.58.26 Caverna perdida.StormReplay,07/07/2024,Caverna perdida.StormReplay,00:21:38,6,37,43,15,53972,0,18887,72859,71819,69193,25577,00:06:17,00:00:00,00:00:00,00:00:00,00:03:11,00:00:00,00:00:00,55436,0,0,62,22,0,0,47360,,
WatchdogMan#1114,Imperius,Bruiser,Winner,2023-12-30 00.44.36 Puesto de avanzada de Braxis.StormReplay,30/12/2023,Puesto de avanzada de Braxis.StormReplay,00:28:47,12,24,36,15,77595,29633,9086,124206,85100,210267,28758,00:07:33,00:00:00,00:00:00,00:00:40,00:03:45,00:00:00,00:00:00,118712,7799,2,68,52,0,0,56983,,
Ticoman#1667,Tyrael,Tank,Winner,2024-11-27 23.18.33 Ciudad argenta.StormReplay,27/11/2024,Ciudad argenta.StormReplay,00:27:45,9,22,31,15,49027,5798,15602,74864,90806,230543,22667,00:06:53,00:00:00,00:00:00,00:00:00,00:03:05,00:00:00,00:00:00,44202,3451,3,33,55,0,14545,95221,,
Zombicioso#1115,Artanis,Bruiser,Winner,2024-09-28 16.34.33 Distrito industrial.StormReplay,28/09/2024,Distrito industrial.StormReplay,00:15:51,0,8,8,15,10848,14738,1778,27364,56893,110493,4715,00:04:55,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,30535,0,0,9,26,0,0,28156,,
Deathmask#1670,Kel'Thuzad,Mage,Loser,2024-02-21 21.39.52 Braxis Outpost.StormReplay,21/02/2024,Braxis Outpost.StormReplay,00:21:38,8,24,32,14,32891,0,7541,44611,40170,52422,23906,00:07:10,00:00:43,00:00:00,00:00:05,00:01:54,00:00:09,00:00:00,6872,1694,0,31,18,0,0,390,,
Deathmask#1670,E.T.C.,Tank,Winner,2024-01-10 23.52.51 Lost Cavern.StormReplay,10/01/2024,Lost Cavern.StormReplay,00:24:11,3,24,27,14,24485,858,7471,32814,34302,129702,16916,00:06:25,00:00:00,00:00:00,00:00:41,00:00:41,00:00:00,00:00:00,31226,0,0,27,27,0,0,22000,,
Raizenser#1838,Zarya,Support,Winner,2024-02-20 21.50.39 Ciudad argenta.StormReplay,20/02/2024,Ciudad argenta.StormReplay,00:25:33,8,23,31,14,56422,14125,4163,81821,62912,128480,22871,00:07:28,00:00:00,00:00:38,00:00:00,00:00:46,00:00:28,00:00:00,69107,6321,3,58,41,0,18077,36444,,
Raizenser#1838,Sonya,Bruiser,Loser,2024-06-05 22.54.14 Ciudad argenta.StormReplay,05/06/2024,Ciudad argenta.StormReplay,00:23:35,5,23,28,14,13750,0,4386,18136,57980,141231,15289,00:06:50,00:00:00,00:00:00,00:00:45,00:00:45,00:00:00,00:00:00,20187,14168,6,10,35,0,0,29796,,
Deathmask#1670,Tychus,Ranged Assassin,Winner,2023-12-02 01.06.36 Caverna perdida.StormReplay,02/12/2023,Caverna perdida.StormReplay,00:25:11,5,22,27,14,39102,0,6415,45517,68927,93831,17846,00:07:26,00:00:00,00:00:00,00:00:00,00:00:14,00:00:00,00:00:00,46183,0,0,41,19,0,0,8817,,
Zombicioso#1115,Imperius,Bruiser,Loser,2024-02-09 21.30.21 Industrial District.StormReplay,09/02/2024,Industrial District.StormReplay,00:23:05,12,21,33,14,38167,0,13365,52072,101157,201925,20725,00:05:48,00:00:00,00:00:00,00:00:53,00:04:55,00:00:00,00:00:00,53291,0,0,29,43,0,0,54514,,
Raizenser#1838,Sylvanas,Melee Assassin,Winner,2024-05-18 01.10.15 Distrito industrial.StormReplay,18/05/2024,Distrito industrial.StormReplay,00:21:11,8,21,29,14,23458,3743,11006,38557,72621,59422,15251,00:07:01,00:00:00,00:00:17,00:00:00,00:00:00,00:00:00,00:00:00,34557,860,0,18,29,0,0,1813,,
Zombicioso#1115,Diablo,Tank,Loser,2024-12-05 00.24.32 Distrito industrial.StormReplay,05/12/2024,Distrito industrial.StormReplay,00:22:53,5,19,24,14,43936,17454,10838,73255,97411,202391,22246,00:04:58,00:00:00,00:00:00,00:00:47,00:07:23,00:00:00,00:00:00,30361,136,0,38,37,0,0,41766,,
Ticoman#1667,Kerrigan,Melee Assassin,Loser,2024-01-16 22.22.19 Ciudad argenta.StormReplay,16/01/2024,Ciudad argenta.StormReplay,00:22:31,7,12,19,14,24315,2637,20553,48681,54220,80023,16370,00:04:57,00:00:00,00:00:00,00:00:18,00:00:48,00:00:00,00:00:00,33621,4743,3,34,31,0,0,16281,,
Raizenser#1838,Zul'jin,Ranged Assassin,Loser,2024-10-08 22.36.32 Puesto de avanzada de Braxis.StormReplay,08/10/2024,Puesto de avanzada de Braxis.StormReplay,00:25:04,17,41,58,13,52749,0,15525,68274,119558,78652,35014,00:05:35,00:00:00,00:00:00,00:00:00,00:03:50,00:02:20,00:00:00,84760,19562,1,63,23,MVP,0,30590,,
Raizenser#1838,Garrosh,Tank,Winner,2024-11-06 21.17.10 Ciudad argenta.StormReplay,06/11/2024,Ciudad argenta.StormReplay,00:32:07,10,39,49,13,56095,10827,6158,76098,62507,138261,38191,00:07:07,00:00:00,00:00:00,00:00:37,00:06:02,00:00:00,00:00:00,43961,13479,6,36,65,MostMercCampsCaptured,0,30443,,
WatchdogMan#1114,Zeratul,Ranged Assassin,Loser,2024-02-08 23.44.20 Puesto de avanzada de Braxis.StormReplay,08/02/2024,Puesto de avanzada de Braxis.StormReplay,00:33:29,7,37,44,13,47155,0,1829,49340,117876,133658,29562,00:07:42,00:00:00,00:00:00,00:00:00,00:02:03,00:01:14,00:00:00,63137,10524,2,44,54,0,0,21747,,
Deathmask#1670,Gazlowe,Bruiser,Winner,2024-04-03 21.44.51 Caverna perdida.StormReplay,03/04/2024,Caverna perdida.StormReplay,00:28:32,7,33,40,13,80981,17266,7903,106150,159517,116836,35362,00:06:58,00:00:00,00:00:00,00:01:06,00:01:06,00:01:55,00:00:00,26405,0,0,100,35,MostHeroDamageDone,0,22857,,
Raizenser#1838,Maiev,Melee Assassin,Winner,2024-04-03 21.44.51 Caverna perdida.StormReplay,03/04/2024,Caverna perdida.StormReplay,00:28:32,6,30,36,13,49547,4776,3990,58313,105839,104818,23695,00:07:30,00:00:00,00:00:00,00:00:09,00:00:09,00:00:00,00:00:00,65073,0,0,41,39,0,0,0,,
Rampage15th#1710,Kel'Thuzad,Mage,Loser,2024-02-21 21.39.52 Braxis Outpost.StormReplay,21/02/2024,Braxis Outpost.StormReplay,00:21:38,2,28,30,13,11679,0,4690,16718,15146,48460,21501,00:06:56,00:00:04,00:00:00,00:00:00,00:00:26,00:00:23,00:00:00,6253,602,1,13,19,MostEscapes,0,568,,
WatchdogMan#1114,Kael'thas,Mage,Winner,2023-12-10 00.52.29 Puesto de avanzada de Braxis.StormReplay,10/12/2023,Puesto de avanzada de Braxis.StormReplay,00:29:47,17,27,44,13,73055,0,24102,107151,88797,84901,40141,00:07:14,00:00:00,00:00:00,00:00:09,00:01:15,00:00:36,00:00:00,1503,11334,2,68,41,0,0,14655,,
Rampage15th#1710,Tychus,Ranged Assassin,Winner,2024-04-03 21.44.51 Caverna perdida.StormReplay,03/04/2024,Caverna perdida.StormReplay,00:28:32,10,25,35,13,66702,8883,31265,106850,82193,77521,29822,00:06:56,00:00:00,00:00:00,00:00:00,00:00:54,00:00:00,00:00:00,57185,0,0,78,32,0,0,0,,
Malenfant#11223,Xul,Bruiser,Winner,2023-12-02 01.06.36 Caverna perdida.StormReplay,02/12/2023,Caverna perdida.StormReplay,00:25:11,5,25,30,13,72490,0,11740,84230,152397,161935,29200,00:07:07,00:01:11,00:00:00,00:00:00,00:01:11,00:00:27,00:00:00,98948,0,0,100,23,MostTeamfightHeroDamageDone,0,61534,,
Raizenser#1838,Thrall,Bruiser,Winner,2024-12-12 23.08.59 Puesto de avanzada de Braxis.StormReplay,12/12/2024,Puesto de avanzada de Braxis.StormReplay,00:23:32,11,23,34,13,29193,19245,6526,62561,84331,102925,20728,00:06:24,00:00:41,00:00:00,00:00:19,00:01:00,00:00:00,00:00:00,42664,4782,1,23,32,MostTeamfightHeroDamageDone,0,37154,,
Zombicioso#1115,The Butcher,Melee Assassin,Loser,2024-02-04 23.29.53 Caverna perdida.StormReplay,04/02/2024,Caverna perdida.StormReplay,00:26:03,14,17,31,13,38256,7070,13556,58882,69652,153585,20683,00:07:18,00:00:00,00:00:24,00:00:23,00:04:06,00:00:00,00:00:00,70934,0,0,43,39,0,0,46436,,
Raizenser#1838,Zarya,Support,Loser,2024-01-04 00.47.14 Ciudad argenta.StormReplay,04/01/2024,Ciudad argenta.StormReplay,00:20:47,8,16,24,13,20608,1284,8119,37676,48722,105138,15120,00:06:01,00:00:00,00:00:28,00:00:00,00:00:00,00:00:00,00:00:00,35858,6197,2,20,26,0,10423,31149,,
Zombicioso#1115,Stitches,Tank,Winner,2024-03-23 00.47.17 Ciudad argenta.StormReplay,23/03/2024,Ciudad argenta.StormReplay,00:26:40,5,16,21,13,12774,2335,3859,20416,54788,173394,11941,00:05:53,00:00:00,00:00:00,00:01:23,00:05:37,00:00:00,00:00:00,11087,11204,3,15,32,0,0,25493,,
Deathmask#1670,Tychus,Ranged Assassin,Winner,2024-09-20 23.41.49 Caverna perdida.StormReplay,20/09/2024,Caverna perdida.StormReplay,00:24:59,7,15,22,13,37347,0,33569,70916,81055,98926,16473,00:06:39,00:00:00,00:00:00,00:00:00,00:00:18,00:00:00,00:00:00,51719,0,0,35,27,0,0,6945,,
WatchdogMan#1114,Artanis,Bruiser,Loser,2024-01-14 21.13.39 Silver City.StormReplay,14/01/2024,Silver City.StormReplay,00:24:19,6,15,21,13,20704,0,0,23577,76641,141783,13156,00:06:06,00:00:00,00:00:00,00:00:00,00:01:32,00:00:00,00:00:00,58258,8624,3,17,29,0,0,29124,,
