FileName,GameMode,Map,Version,Region,GameTime,Team,PlayerName,PlayerLevel,HeroName,HeroLevel,Award,Talents_L1,Talents_L4,Talents_L7,Talents_L10,Talents_L13,Talents_L16,Talents_L20,HeroKills,Assists,Takedowns,Deaths,MinionDamage,SummonDamage,StructureDamage,TotalSiegeDamage,HeroDamage,DamageTaken,HealingShielding,SelfHealing,Experience,SpentDead,RootingHeroes,SilenceHeroes,StunHeroes,CCHeroes,OnFire,SpellDamage,PhysicalDamage,MercDamage,MercCampCaptures,WatchTowerCaptures,TownKills,MinionKills,RegenGlobes,Winner,Role
2025-03-10 00.06.56 Silver City.StormReplay,aram,Silver City,2.55.9.93640,us,0:34:45,Red,Raizenser,3110,Cassia,1,0,0,AmazonFendGroundingRod,AmazonBallLightning,AmazonFendWarMatron,0,AmazonInfiniteLightning,0,8,24,32,8,129473,17674,19899,180872,206292,175752,4765,42354,37664,0:04:54,0.0,0:00:00,0:00:00,0:00:00,0:01:36,317544,79145,9525,4,0,2,113,67,Yes,Ranged Assassin
2025-03-10 00.06.56 Silver City.StormReplay,aram,Silver City,2.55.9.93640,us,0:34:45,Red,WatchdogMan,2897,Thrall,1,mostTeamfightHeroDamageDone,ThrallCrashLightning,ThrallMaelstromWeapon,ThrallHeroicAbilitySundering,0,ThrallThunderstorm,0,ThrallWindRush,6,21,27,9,129811,24658,10352,174077,238295,223235,0,74479,25798,0:05:01,0.001319444,0:00:00,0:00:27,0:00:00,0:00:00,350740,79612,18421,4,0,1,55,61,Yes,Bruiser
2025-03-10 00.06.56 Silver City.StormReplay,aram,Silver City,2.55.9.93640,us,0:34:45,Red,Ticoman,2006,E.T.C.,1,0,ETCCrowdSurfer,0,ETCHeroicAbilityMoshPit,ETCMasteryEncore,ETCMasteryShowStopper,0,L90ETCMasteryDeathMetal,2,21,23,13,48629,4554,7727,66527,61407,251364,0,59954,23548,0:07:08,0.0,0:00:00,0:01:03,0:00:00,0:00:00,69338,68107,9511,5,0,0,37,62,Yes,Tank
2025-03-10 00.06.56 Silver City.StormReplay,aram,Silver City,2.55.9.93640,us,0:34:45,Red,Indigente,184,Malfurion,1,0,MalfurionRejuvenation,MalfurionWildGrowthTalent,MalfurionHeroicAbilityTranquility,MalfurionRegrowthNaturesSwiftness,MalfurionYserasGift,MalfurionMasterySerenity,0,4,29,33,2,35267,5907,2338,47251,123433,127498,366572,0,30254,0:00:47,0.0009375,0:00:00,0:00:00,0:00:00,0:00:12,143564,36967,9847,5,0,1,32,79,Yes,Healer
2025-03-19 23.43.48 Lost Cavern.StormReplay,aram,Lost Cavern,2.55.10.93810,us,0:32:47,Red,Deathmask,2074,Genji,1,0,GenjiShurikenShurikenMastery,0,GenjiDeflectPerfectDefense,GenjiSwiftStrikeFlowLikeWater,GenjiDeflectReflect,GenjiXStrikeLivingWeapon,0,6,19,25,12,86806,3312,29607,119725,147496,221636,0,26654,30255,0:06:10,0.0,0:00:00,0:00:00,0:00:00,0:00:47,159178,75295,0,0,0,1,96,59,No,Melee Assassin
2025-03-19 23.43.48 Lost Cavern.StormReplay,aram,Lost Cavern,2.55.10.93810,us,0:32:47,Red,Indigente,202,Diablo,1,mostTeamfightDamageTaken,DiabloSoulShield,DiabloFireStompSoulsToTheFlame,DiabloHeroicAbilityApocalypse,DiabloHellfire,DiabloDebilitatingFlames,0,DiabloTalentLordOfTerror,9,22,31,10,138834,5327,22795,166956,178134,515971,0,98407,35959,0:02:17,0.0,0:00:00,0:01:22,0:00:00,0:05:35,232957,64135,0,0,0,2,96,75,No,Tank
2025-03-19 23.43.48 Lost Cavern.StormReplay,aram,Lost Cavern,2.55.10.93810,us,0:32:47,Red,Raizenser,3131,Fenix,1,0,FenixTargetAcquired,0,FenixDivertPowerWeaponsTalent,FenixHeroicAbilityPlanetCracker,FenixOffensiveCadence,0,FenixSingularityCharge,14,15,29,14,102917,4128,11528,118573,154741,173608,0,9272,28451,0:06:08,0.0,0:00:00,0:00:00,0:00:00,0:02:08,122909,116660,0,0,0,2,87,63,No,Ranged Assassin
2025-03-19 23.43.48 Lost Cavern.StormReplay,aram,Lost Cavern,2.55.10.93810,us,0:32:47,Red,Ticoman,2012,Anduin,1,0,AnduinLightwell,AnduinFlashHealBindingHeal,0,AnduinLightBomb,AnduinFlashHealRenew,0,AnduinInnerFire,1,29,30,3,72938,1717,5578,80233,44205,122763,247513,16477,28475,0:01:41,0.000347222,0:00:00,0:00:26,0:00:00,0:00:00,84581,28196,0,0,0,1,69,79,No,Healer
2025-05-02 01.01.50 Silver City.StormReplay,aram,Silver City,2.55.10.93810,us,0:31:50,Red,Swift,680,Gazlowe,1,mostXPContribution,GazloweRockItSockIt,TinkerMasteryGoblinFusion,0,GazloweRockItTurretPositiveReinforcement,GazloweXplodiumChargeArkReaktor,0,GazloweXplodiumChargeBombToss,5,20,25,8,189722,4034,26745,241078,207235,228035,0,81072,46126,0:05:16,0.0,0:00:00,0:01:39,0:00:00,0:02:05,387754,46838,5748,1,0,2,170,66,No,Bruiser
2025-05-02 01.01.50 Silver City.StormReplay,aram,Silver City,2.55.10.93810,us,0:31:50,Red,Indigente,230,Mephisto,1,mostTeamfightHeroDamageDone,MephistoShadeOfMephistoMaliciousIntent,MephistoLightningNovaStaticBarrier,MephistoConsumeSouls,MephistoLordOfHatredHysteria,MephistoLightningNovaStaticField,MephistoConsumeSoulsConsumedByHatred,0,9,19,28,7,118617,1233,16913,149257,250221,154061,0,32116,35639,0:03:19,0.0,0:00:00,0:00:00,0:00:00,0:01:05,363137,21635,8369,4,0,2,106,65,No,Mage
2025-05-02 01.01.50 Silver City.StormReplay,aram,Silver City,2.55.10.93810,us,0:31:50,Red,Ticoman,2043,Tyrael,1,0,TyraelStalwartAngel,TyraelMasteryRighteousnessReciprocate,TyraelHeroicAbilityJudgement,0,TyraelBurningHalo,TyraelMasteryJudgmentAngelofJustice,0,6,20,26,11,68072,1915,5517,83350,123830,224976,42308,44967,23916,0:06:54,0.0,0:00:00,0:00:18,0:00:00,0:00:00,169157,37219,9386,3,0,1,49,59,No,Tank
2025-05-02 01.01.50 Silver City.StormReplay,aram,Silver City,2.55.10.93810,us,0:31:50,Red,Raizenser,3178,Muradin,1,0,MuradinMasteryStormhammerSledgehammer,0,MuradinGiveEmTheAxeExecutioner60DamageBonus,MuradinBronzebeardRage,MuradinMasteryDwarfTossDwarfLaunch,MuradinMasteryHaymakerGrandSlam,0,7,19,26,14,45763,2234,13043,70081,109271,265399,0,62132,23191,0:07:33,0.0,0:00:00,0:01:32,0:00:00,0:00:00,137224,41089,11251,3,0,2,46,51,No,Tank
2025-05-02 01.01.50 Silver City.StormReplay,aram,Silver City,2.55.10.93810,us,0:31:50,Red,Malenfant,830,Li Li,1,mostHealing,LiLiWindSerpent,LiLiMasteryHealingBrewTheGoodStuff,LiLiHeroicAbilityJugof1000Cups,LiLiMasteryBlindingWindGaleForce,LiLiPickMeUp,LiLiMasteryJugof1000CupsJugof1000000Cups,0,2,20,22,4,14196,385,1326,16380,46329,122158,314334,0,14714,0:02:05,0.0,0:00:00,0:00:00,0:00:00,0:00:00,47598,15338,3733,3,0,1,18,58,No,Healer
